127.0.0.1 - - [03/Dec/2020:17:59:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2020:17:59:24 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [03/Dec/2020:17:59:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Dec/2020:18:00:46 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [03/Dec/2020:18:00:56 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [03/Dec/2020:18:01:44 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [03/Dec/2020:18:02:11 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [03/Dec/2020:18:07:48 +0900] "GET /Book/hello.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [03/Dec/2020:19:24:30 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [03/Dec/2020:19:24:45 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [03/Dec/2020:19:25:13 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [03/Dec/2020:19:27:21 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [03/Dec/2020:19:31:52 +0900] "GET /Book/HI.jsp HTTP/1.1" 200 334
